Brand,Price,Color,Condition,GPU,Processor Speed,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
dell,175,black,Used,intel,2.4,windows,hdd/ssd,500,500,14,16
dell,101.25,other,Good - Refurbished,other,1.4,windows,ssd,0,256,12.5,8
acer,50,black,Used,other,1.6,chrome,ssd,0,16,11.6,4
hp,39.6,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,280,black,Excellent - Refurbished,other,2.8,windows,hdd/ssd,512,500,14,16
lenovo,138,black,Used,intel,1.7,windows,ssd,0,128,14,16
dell,218,black,Used,intel,1.6,unknown,ssd,0,512,15.6,16
dell,130,black,Used,intel,1.1,windows,hdd/ssd,128,128,11,4
acer,40,gray,Used,intel,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,625,other,Open box,other,4.4,windows,hdd/ssd,1000,1000,16,32
dell,315,silver,Used,amd,2.3,windows,ssd,0,512,14,16
dell,200,black,Used,intel,2.6,windows,hdd/ssd,256,256,12.5,8
hp,300,silver,New,intel,1.6,unknown,ssd,0,512,13,16
microsoft,60,gray,Used,other,1.9,windows,hdd/ssd,128,128,12,4
hp,439,silver,New,intel,4.2,windows,hdd/ssd,2000,2000,15.6,32
dell,345,black,Very Good - Refurbished,intel,3.1,windows,hdd/ssd,512,512,15.6,16
hp,209,black,Very Good - Refurbished,intel,2.5,windows,ssd,0,512,15.6,16
lenovo,799,gray,Used,nvidia,3.5,windows,ssd,0,512,16,16
lenovo,100,brown,Used,intel,1.9,unknown,hdd/ssd,256,256,14,8
dell,219,black,Used,other,3.9,windows,hdd/ssd,512,512,15.61,16
dell,152.5,black,Used,intel,1.6,windows,ssd,0,256,14,8
dell,489,black,New,amd,4.5,windows,hdd/ssd,512,512,15.6,16
dell,120,black,Used,other,2.4,unknown,hdd,8,0,14,8
hp,29.98,multicolor,Used,other,2.16,chrome,hdd/ssd,16,16,14,16
hp,145,black,Very Good - Refurbished,intel,2.3,windows,ssd,0,512,15.6,8
dell,160,other,Used,other,2.3,windows,hdd/ssd,256,256,15.6,8
dell,130,black,Used,intel,2.6,windows,hdd/ssd,256,256,12.5,8
lenovo,81,black,Used,other,2.5,windows,hdd/ssd,320,120,12.5,4
microsoft,103.75,silver,Used,other,2.6,unknown,hdd,512,0,13.5,1
dell,200,black,Used,nvidia,2.5,windows,ssd,0,256,15.6,8
dell,105,black,Used,other,2.6,windows,hdd/ssd,256,256,14,8
lenovo,90,black,Used,other,2.3,windows,hdd/ssd,128,128,11.6,8
lenovo,599,grey,New,intel,4.2,windows,hdd/ssd,1000,1000,15.6,20
dell,170,other,Very Good - Refurbished,other,2.4,unknown,hdd/ssd,500,500,14,16
dell,239,other,Used,other,2.7,windows,ssd,0,512,15.6,16
hp,290,silver,Very Good - Refurbished,intel,2.6,windows,hdd/ssd,500,500,14,32
microsoft,409,silver,Open box,intel,2.4,windows,ssd,0,256,12.3,8
dell,200,black,Used,intel,2.4,windows,hdd/ssd,256,256,14,8
hp,659,blue,Used,nvidia,2.1,windows,ssd,0,512,15.6,8
dell,229,gray,Used,intel,1.7,unknown,hdd/ssd,512,512,14,16
lenovo,180,black,Used,intel,2.6,windows,hdd/ssd,512,512,14.1,16
dell,125.94,black,Very Good - Refurbished,intel,2.4,windows,ssd,0,240,14,8
lenovo,90,gray,Used,intel,2.2,windows,ssd,0,128,13,4
hp,999,other,Used,other,1.6,unknown,ssd,0,256,15.6,8
lenovo,229,other,Used,other,1.7,windows,ssd,0,256,14,16
asus,293,gray,Used,intel,1.8,windows,hdd/ssd,256,256,15.6,8
dell,185,gray,Used,other,1.7,unknown,ssd,0,512,14,16
hp,259,silver,Used,intel,2.1,windows,hdd/ssd,256,256,11.6,8
dell,75,black,Used,other,1.1,windows,ssd,0,128,11.6,4
hp,44.75,gray,Used,other,1.1,chrome,hdd/ssd,32,32,11.6,4
dell,220,other,Excellent - Refurbished,intel,2.6,windows,hdd/ssd,500,500,12.5,16
dell,260,other,Excellent - Refurbished,other,1.9,windows,hdd/ssd,512,512,13.3,16
dell,300,black,Used,intel,2,windows,ssd,0,256,14,12
hp,69,multicolor,Used,intel,2,linux,ssd,0,240,14,3
lenovo,370,black,Used,intel,1.6,windows,ssd,0,256,13.3,8
lenovo,270,gray,Used,intel,1.2,windows,ssd,0,256,14,8
acer,90,silver,Used,intel,1.1,windows,hdd/ssd,128,128,14,4
dell,199,other,Used,intel,1.2,windows,ssd,0,128,11.6,8
microsoft,200,silver,Used,intel,2.5,windows,hdd/ssd,256,256,13.5,8
hp,390,silver,New,intel,2.4,windows,hdd/ssd,256,256,15.6,8
dell,125,black,Used,other,2,windows,hdd,160,0,15.4,3
lenovo,250,black,Used,other,2.1,windows,hdd/ssd,256,256,15.6,8
hp,140,silver,Used,intel,1.1,chrome,hdd/ssd,64,64,14,4
lenovo,1197,other,Used,intel,1.7,windows,ssd,0,512,14,16
dell,144,other,Used,intel,2.5,unknown,hdd,240,0,14,4
dell,75,silver,Used,intel,2.7,windows,hdd,200,0,14,4
hp,699,silver,New,nvidia,4.4,windows,hdd/ssd,2000,2000,15.6,64
dell,180,black,Used,other,2.4,windows,ssd,0,256,14,8
lenovo,192,gray,Open box,intel,1.2,windows,hdd/ssd,8,256,15.6,8
acer,390,blue,New,amd,2.8,windows,ssd,0,512,15.6,8
acer,54,black,Used,other,1.6,linux,hdd/ssd,16,16,11.6,4
dell,370,black,Excellent - Refurbished,intel,1.9,windows,hdd/ssd,1000,1000,14,32
lenovo,150,black,Used,other,1.6,windows,ssd,0,256,14,16
lenovo,444.5,blue,Open box,intel,4.4,windows,hdd/ssd,512,512,15.6,12
microsoft,530,silver,Good - Refurbished,other,2.4,windows,ssd,0,256,12.3,16
lenovo,198,black,Used,intel,1.6,unknown,hdd/ssd,256,256,14,16
hp,88,other,Used,other,1.6,windows,hdd/ssd,128,128,12,4
hp,444.2,other,Open box,intel,3.5,windows,hdd/ssd,256,256,17.3,12
dell,235,black,Used,nvidia,2.7,windows,ssd,0,512,15.6,16
lenovo,29.98,black,Used,intel,2.5,windows,hdd,300,0,15,4
lenovo,450,black,Very Good - Refurbished,nvidia,2.8,windows,ssd,0,512,15.6,16
microsoft,259.8,silver,Used,intel,1.5,windows,hdd/ssd,256,256,13.5,8
hp,172,silver,Used,intel,1.9,windows,hdd/ssd,256,256,14,8
dell,422,other,Good - Refurbished,intel,2.6,windows,ssd,0,256,11.6,16
lenovo,268,black,Very Good - Refurbished,nvidia,2.4,windows,ssd,0,512,15.6,16
lenovo,187.8,purple,Used,nvidia,2.9,windows,ssd,0,256,14.1,16
asus,289.5,black,Used,intel,3,windows,hdd/ssd,256,256,14,8
microsoft,130,silver,Used,other,2.4,windows,hdd/ssd,256,256,12.3,8
dell,400,black,Used,other,1.7,windows,hdd/ssd,512,512,15.6,16
hp,725,other,Open box,other,3.3,windows,ssd,0,256,16,16
lenovo,400,black,Excellent - Refurbished,intel,1.8,windows,hdd/ssd,1000,1000,14,24
hp,450,silver,Open box,amd,2.6,windows,ssd,0,256,14,16
dell,155,black,Used,intel,1.9,windows,ssd,0,256,14,16
dell,279,black,Used,other,2.6,windows,hdd/ssd,1000,1000,14,16
hp,329.5,other,Good - Refurbished,intel,2.8,windows,ssd,0,256,14,16
dell,260,silver,Used,other,2.7,windows,ssd,0,256,15.6,32
hp,40,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,300,silver,New,other,1.6,windows,hdd/ssd,128,128,13.3,4
lenovo,270,blue,Used,intel,3,chrome,ssd,0,256,13.3,8
lenovo,450,black,Very Good - Refurbished,nvidia,2.8,windows,ssd,0,512,15.6,16
dell,180,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,8
hp,87.1,black,For parts or not working,other,2.5,unknown,hdd,1000,0,15.6,8
hp,45,multicolor,Used,other,2.16,chrome,hdd/ssd,16,16,14,16
dell,599,black,New,intel,2.4,windows,hdd/ssd,1000,1000,15.6,16
asus,70,black,Used,intel,2.5,windows,hdd,750,0,15.6,6
hp,525,silver,Used,nvidia,2.6,windows,hdd/ssd,512,512,17.3,64
lenovo,44,gray,Used,other,1.1,chrome,hdd/ssd,32,32,11.6,4
lg,589,gray,Used,intel,2.9,windows,ssd,0,512,17,16
lenovo,350,blue,Certified - Refurbished,amd,2.1,windows,ssd,0,256,13.3,8
lenovo,51,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
hp,1149,black,New,nvidia,2.4,windows,hdd/ssd,1000,1000,16.1,16
dell,159.8,pink,Used,other,3,windows,hdd/ssd,256,256,14,16
lenovo,120.3,other,Good - Refurbished,intel,1.9,windows,hdd,500,0,12.5,8
dell,106.25,black,Used,other,2.3,unknown,hdd,500,0,14,8
lenovo,453.8,other,Used,intel,2.1,windows,hdd/ssd,128,128,14,8
dell,110,black,Used,other,2.3,windows,ssd,0,128,14,4
dell,299.8,other,Used,intel,2.4,windows,hdd,250,0,14,8
lenovo,200,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,8
lenovo,188.8,other,Used,intel,2.4,windows,hdd/ssd,256,256,14,8
dell,80,other,Used,other,1.9,windows,hdd/ssd,500,500,14,4
samsung,47,black,Used,intel,2.5,chrome,hdd/ssd,16,16,11.6,4
lenovo,100,black,Used,intel,2.5,windows,hdd,500,0,15.6,4
dell,450,other,Used,other,1.6,chrome,hdd/ssd,32,32,11,4
microsoft,175,silver,Used,intel,1.2,unknown,hdd/ssd,128,128,13.5,8
dell,140,black,Used,intel,1.6,windows,hdd,500,0,14,16
dell,335,black,Excellent - Refurbished,intel,1.9,windows,hdd/ssd,512,512,14,32
dell,79,other,Used,other,2.3,windows,hdd/ssd,250,250,14,4
dell,73,other,Used,other,2.1,windows,hdd/ssd,500,500,14,8
dell,149,silver,Used,intel,2,windows,ssd,0,128,14,4
lenovo,500,black,New,amd,2.3,windows,hdd/ssd,256,256,14,16
asus,70,black,Used,intel,2.5,windows,hdd,750,0,15.6,6
lg,990,black,Used,intel,2.9,windows,ssd,0,1000,17,16
acer,230,gray,Used,intel,1.8,chrome,hdd/ssd,16,128,13.5,16
acer,118.1,other,Used,other,2.3,windows,ssd,0,128,12,4
lenovo,320,gray,Used,intel,1,windows,hdd/ssd,512,512,14,16
hp,75,other,Used,other,1.6,windows,hdd,320,0,14,4
dell,350,gray,Used,intel,1.9,windows,ssd,0,512,14,16
dell,399,other,Used,other,2.7,unknown,hdd/ssd,512,512,17.3,16
hp,100,gray,Used,intel,2.5,windows,hdd/ssd,500,500,15.6,8
hp,200,silver,Used,intel,1.7,chrome,hdd/ssd,64,64,14,8
dell,115,black,Used,intel,2.3,windows,hdd/ssd,256,256,15.6,8
dell,399,black,Used,intel,1.7,unknown,hdd/ssd,512,512,14,32
microsoft,93,silver,Used,other,2.6,windows,hdd/ssd,128,128,13.5,8
hp,180,black,Used,other,2.4,windows,ssd,0,256,14,8
microsoft,725,other,Very Good - Refurbished,other,1.3,windows,ssd,0,256,13.5,16
dell,29.89,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
hp,184.1,other,Used,other,2.7,windows,ssd,0,256,15.6,8
hp,157.8,purple,Used,intel,2.6,windows,hdd/ssd,500,500,15.6,16
samsung,48,silver,Used,other,2.16,chrome,hdd/ssd,2,16,11.6,16
dell,93,black,Used,intel,1.1,windows,hdd/ssd,64,64,11.6,4
dell,235,black,Used,nvidia,2.7,windows,ssd,0,512,15.6,16
lenovo,52,black,Used,other,1.6,linux,hdd/ssd,16,16,11.6,4
lenovo,420,black,Used,amd,2.3,windows,hdd/ssd,256,256,14,16
samsung,40.47,black,Used,intel,2.5,chrome,hdd/ssd,16,16,11.6,4
dell,89,silver,Used,other,2.66,windows,hdd,500,0,14.1,4
hp,172,silver,Used,intel,1.9,windows,hdd/ssd,256,256,14,8
lenovo,268,black,Very Good - Refurbished,nvidia,2.4,windows,ssd,0,512,15.6,16
microsoft,259.8,silver,Used,intel,1.5,windows,hdd/ssd,256,256,13.5,8
dell,879,gray,Used,nvidia,2.8,windows,ssd,0,1000,17.3,64
hp,450,silver,Open box,amd,2.6,windows,ssd,0,256,14,16
lenovo,60,gray,Used,amd,1.6,chrome,ssd,0,32,14,4
dell,885,black,Used,intel,1.1,unknown,hdd/ssd,128,128,11.6,4
dell,140,black,Used,intel,2.3,windows,hdd/ssd,8,500,14,8
dell,323,other,Used,intel,2.6,windows,ssd,0,512,14,16
lenovo,210,black,Open box,amd,2.5,windows,ssd,0,128,14,8
dell,240,black,Excellent - Refurbished,intel,1.7,windows,hdd/ssd,500,500,14,32
dell,190.8,other,Used,other,1.7,windows,ssd,0,256,15.6,8
lenovo,230,black,Used,other,2.5,unknown,hdd/ssd,500,500,15.6,4
lenovo,215,beige,Used,intel,1.2,windows,ssd,0,512,15.6,12
acer,79.1,other,Used,nvidia,2.3,windows,hdd,720,0,15.6,8
dell,599,black,New,intel,2.4,windows,hdd/ssd,1000,1000,15.6,16
hp,226.5,silver,Used,intel,1.8,windows,ssd,0,500,15.6,16
acer,105.06,other,Used,other,1.6,windows,ssd,0,128,14,8
dell,31.95,black,For parts or not working,intel,1.6,unknown,hdd,8,0,10.8,8
dell,75,silver,Used,intel,2.67,windows,hdd,250,0,13.3,4
lenovo,189,black,Used,intel,1.6,windows,hdd/ssd,256,256,14,16
lenovo,198,other,Good - Refurbished,other,2.5,windows,ssd,0,256,14,16
hp,686,other,Used,nvidia,3.3,windows,hdd/ssd,512,512,15.6,8
lenovo,164.2,other,Used,other,2.6,windows,ssd,0,512,12.5,8
acer,249,silver,Used,intel,4.1,windows,hdd/ssd,128,128,15.6,4
dell,100,other,Used,other,2.2,windows,hdd/ssd,128,128,13.3,8
dell,1330,black,Very Good - Refurbished,intel,1.8,windows,hdd/ssd,256,256,14,16
dell,1050,black,Excellent - Refurbished,intel,3.3,windows,hdd/ssd,256,256,14,8
lenovo,135.9,black,Used,intel,2.4,windows,ssd,0,256,12.1,8
dell,140,black,Used,intel,1.1,windows,hdd/ssd,128,128,11.6,4
lenovo,144.5,other,Used,other,2.3,windows,ssd,0,256,14,8
hp,329.2,other,Used,other,1.6,windows,hdd/ssd,256,256,13.3,8
hp,153,silver,Used,intel,1.6,windows,ssd,0,120,14,8
dell,399,black,Used,intel,2.5,windows,ssd,0,256,15.6,8
dell,899,black,New,other,1.3,windows,hdd/ssd,2000,2000,17.3,8
microsoft,510,black,Used,other,1.8,windows,hdd/ssd,256,256,13,16
lenovo,420,black,Excellent - Refurbished,intel,1.8,windows,hdd/ssd,256,256,13,16
hp,115.6,other,Used,amd,2.5,windows,ssd,0,256,15.6,8
dell,97.7,other,Used,other,2.5,windows,hdd,500,0,14,4
dell,160,black,Used,intel,2.4,windows,ssd,0,256,14,8
dell,400,black,Used,intel,2.6,windows,hdd/ssd,256,256,15.6,16
hp,399,silver,Used,intel,3.3,windows,ssd,0,512,15.6,12
acer,629,black,New,nvidia,2.7,windows,hdd/ssd,512,512,15.6,16
lenovo,550,silver,Used,intel,1.8,windows,hdd/ssd,256,256,13.5,16
dell,350,gray,Used,intel,3,windows,hdd/ssd,256,256,14,16
microsoft,120,other,Used,intel,2.6,windows,hdd/ssd,256,256,12.3,8
acer,58,black,Used,intel,1.6,chrome,hdd/ssd,32,32,11.6,4
hp,548,silver,Used,intel,1.7,windows,hdd/ssd,256,256,14,16
hp,525,silver,Used,nvidia,2.6,windows,hdd/ssd,512,512,17.3,64
hp,167.8,pink,Used,other,2.3,windows,hdd/ssd,12,256,15.6,12
microsoft,150,silver,Used,other,2.4,windows,hdd/ssd,128,128,13.5,8
lenovo,190,black,Used,intel,1.7,windows,hdd/ssd,256,256,14,8
dell,330,black,Good - Refurbished,intel,2.6,windows,ssd,0,512,14,16
dell,650,silver,Used,nvidia,2.4,windows,hdd/ssd,32,512,17.3,32
hp,88.94,other,Used,intel,1,windows,ssd,0,256,11.6,8
hp,65.94,other,Used,other,2.16,windows,hdd/ssd,500,500,15.6,4
samsung,53,black,Used,intel,1.6,windows,hdd/ssd,64,64,12.2,4
dell,10.99,black,Used,intel,2.4,windows,hdd/ssd,128,128,14,8
hp,37.94,black,Used,intel,2.16,chrome,hdd/ssd,16,16,11.6,4
lenovo,125,black,Used,other,2.5,windows,hdd,500,0,14,8
lenovo,616.5,gray,Open box,intel,4.7,windows,hdd/ssd,512,512,16,16
dell,280,black,Excellent - Refurbished,intel,1.9,windows,hdd/ssd,500,500,14,32
dell,240,black,Excellent - Refurbished,intel,3.9,windows,hdd/ssd,2000,2000,14,64
dell,97,other,Used,intel,2.16,chrome,hdd/ssd,16,16,11.6,4
hp,780,silver,New,intel,1.7,windows,hdd/ssd,1000,4000,17.3,64
asus,699,silver,New,other,3.3,windows,hdd/ssd,512,512,14,16
lenovo,16,black,Used,intel,1.6,chrome,ssd,0,16,11.6,4
dell,190,other,Used,other,2.1,windows,ssd,0,1000,14,16
samsung,350,red,Used,intel,1.6,chrome,hdd/ssd,256,256,13.3,8
lenovo,109,other,Used,other,2.4,chrome,ssd,0,32,13.3,8
lenovo,339,black,Very Good - Refurbished,nvidia,2.7,windows,ssd,0,1000,15.6,16
acer,629,black,New,nvidia,2.7,windows,hdd/ssd,512,512,15.6,16
dell,131.2,other,Very Good - Refurbished,other,1.1,windows,ssd,0,256,10.8,8
hp,299,black,Very Good - Refurbished,intel,2.7,windows,ssd,0,1000,15.6,16
dell,825,silver,New,intel,3.9,windows,hdd/ssd,512,512,14,16
dell,449,black,Used,other,3.8,windows,hdd/ssd,1000,1000,17.3,32
hp,198,silver,Very Good - Refurbished,intel,1.7,windows,ssd,0,128,14,8
lenovo,299,black,Used,amd,2.3,windows,hdd/ssd,16,512,14,16
dell,363,black,Used,intel,1.9,windows,ssd,0,512,14,16
dell,297,black,Good - Refurbished,intel,2.4,windows,hdd/ssd,512,512,14,8
lenovo,282,black,Very Good - Refurbished,nvidia,2.6,windows,hdd/ssd,512,512,15.6,16
lenovo,225,black,Good - Refurbished,intel,1.6,windows,ssd,0,512,14,8
dell,245,black,Used,intel,1.7,windows,hdd/ssd,1000,1000,14,32
lenovo,585,black,Very Good - Refurbished,nvidia,3,windows,ssd,0,512,15.6,32
hp,494.2,other,Used,other,2.4,windows,ssd,0,256,14,16
hp,439,silver,New,other,2.4,windows,ssd,0,256,14,8
dell,479,black,Used,intel,2,windows,hdd/ssd,512,512,15.6,16
dell,388,silver,Used,nvidia,2.6,unknown,hdd/ssd,512,512,15.6,32
hp,135,silver,Used,nvidia,2.2,windows,hdd/ssd,256,256,15.6,8
dell,464.5,other,Used,nvidia,2.6,unknown,ssd,0,512,15.6,16
lenovo,170,black,Used,intel,1.7,windows,hdd/ssd,256,256,15.6,8
hp,395,other,Used,nvidia,1.8,windows,hdd/ssd,1000,1000,14,32
dell,930,black,New,other,1.9,windows,hdd/ssd,1000,1000,17.3,16
dell,171,black,Very Good - Refurbished,intel,1.7,windows,ssd,0,500,14,16
lenovo,35,black,Used,intel,1,chrome,hdd,16,0,11.6,4
hp,949.5,black,Certified - Refurbished,nvidia,5.1,windows,ssd,0,512,16.1,16
microsoft,900,black,Very Good - Refurbished,other,1.8,windows,ssd,0,512,13.5,32
dell,329.5,black,Used,nvidia,2.2,windows,hdd/ssd,512,512,15.6,32
samsung,159,silver,Used,other,2.55,windows,hdd/ssd,64,64,14,4
hp,330,silver,New,intel,4.1,windows,ssd,0,256,15.6,8
dell,225,black,Used,nvidia,2.7,windows,hdd/ssd,512,512,15.6,16
lenovo,200,black,Used,other,1.7,windows,hdd/ssd,256,256,13,8
lenovo,616.5,gray,Open box,intel,4.7,windows,hdd/ssd,512,512,16,16
lenovo,154,black,Used,intel,2.3,windows,hdd/ssd,512,512,14,16
hp,380,silver,Used,intel,2.4,windows,hdd/ssd,256,256,15.6,8
dell,80,multicolor,Used,intel,2.5,linux,ssd,0,240,15.6,8
dell,800,silver,Used,nvidia,4.6,windows,hdd/ssd,256,256,17,16
hp,170,silver,Used,other,3,windows,hdd/ssd,512,512,14,8
lenovo,780,gray,Used,amd,2.7,windows,ssd,0,1000,16,16
lenovo,400,black,Used,intel,1.6,windows,hdd/ssd,1000,1000,15.6,32
hp,35,black,Used,other,1.6,unknown,hdd,300,0,10.1,2
dell,300,black,Used,intel,3.6,windows,ssd,0,1000,14,32
hp,139,silver,Used,intel,1.1,chrome,hdd/ssd,128,128,14,4
hp,239.5,other,Very Good - Refurbished,other,1.2,windows,ssd,0,256,12.5,8
lenovo,200,other,Excellent - Refurbished,intel,2.4,windows,hdd/ssd,512,512,14,20
lenovo,289,blue,New,intel,3.3,windows,hdd/ssd,1000,1000,15.6,36
lenovo,280,black,Excellent - Refurbished,intel,1.7,windows,hdd/ssd,500,500,14,16
hp,180,silver,For parts or not working,other,2.4,unknown,ssd,0,120,13.3,8
dell,49.5,black,Used,intel,2.16,chrome,hdd/ssd,16,16,11.6,4
microsoft,388.8,other,Used,intel,1.9,windows,ssd,0,512,13.3,16
lenovo,594.5,blue,Open box,intel,5,windows,hdd/ssd,512,512,16,16
dell,130,black,Used,other,2.8,windows,ssd,0,128,11.6,4
dell,185,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,8
lenovo,199,black,Used,intel,1.6,windows,hdd/ssd,256,256,14,16
dell,729,silver,Certified - Refurbished,other,2.4,windows,ssd,0,1000,16,32
microsoft,230,silver,Used,intel,1.1,windows,hdd/ssd,64,64,10.5,4
lenovo,48,black,Used,intel,2.6,windows,hdd/ssd,500,500,14,8
hp,550,silver,Used,nvidia,3.3,windows,ssd,0,512,15.6,8
lenovo,151.1,other,Very Good - Refurbished,other,2.6,windows,ssd,0,256,13.3,8
hp,150,gray,Used,intel,1.1,windows,hdd/ssd,128,128,11.6,4
dell,225,black,Used,other,1.9,windows,hdd/ssd,512,512,14,16
dell,700,silver,Used,intel,3.7,windows,hdd/ssd,1000,1000,16,32
lenovo,900,gray,Used,nvidia,4.7,windows,hdd/ssd,512,512,16,16
microsoft,90,other,Used,other,1.9,windows,ssd,0,128,12.3,4
dell,599,other,Used,other,1.9,windows,hdd/ssd,512,512,11.6,16
asus,495,blue,Used,intel,4.7,windows,ssd,0,512,15.6,16
lenovo,100,black,Used,intel,1.6,windows,hdd/ssd,128,128,11.6,4
acer,650,black,Used,nvidia,4,windows,hdd/ssd,512,512,17.3,8
hp,365,silver,Very Good - Refurbished,intel,1.8,windows,ssd,0,1000,15.6,32
dell,455,black,Very Good - Refurbished,intel,4.9,windows,hdd/ssd,1000,1000,14,16
dell,210.5,other,Very Good - Refurbished,other,1.6,windows,ssd,0,256,14,4
microsoft,400,other,Used,intel,1.1,unknown,hdd/ssd,128,128,12.3,8
dell,749,silver,Good - Refurbished,intel,4.8,windows,ssd,0,1000,13.4,32
dell,40,gray,Used,other,2.6,windows,hdd,250,0,14,4
lenovo,209,black,Used,intel,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,124.9,silver,Used,amd,1.73,windows,hdd/ssd,120,120,15.4,2
dell,89.9,other,Good - Refurbished,intel,2.48,chrome,ssd,0,32,11.6,4
lenovo,219,other,Used,intel,1.7,windows,ssd,0,256,14,8
lenovo,700,gray,Used,intel,1.3,windows,hdd/ssd,512,512,16,16
hp,699,silver,New,nvidia,4.4,windows,hdd/ssd,2000,2000,15.6,64
lenovo,335,gray,Used,intel,1.9,windows,hdd/ssd,512,512,14,16
lenovo,379,black,New,amd,2.3,windows,hdd/ssd,512,512,13.3,8
hp,135,silver,Used,nvidia,2.2,windows,hdd/ssd,256,256,15.6,8
hp,736,silver,New,other,1.7,windows,ssd,0,512,14,16
hp,350,silver,Open box,intel,2.6,windows,hdd/ssd,256,256,14,16
dell,120.9,other,Used,other,2,windows,ssd,0,256,12.5,8
lenovo,149,black,Used,intel,2.4,windows,hdd/ssd,256,256,15,16
hp,39,gray,Used,intel,1.1,chrome,hdd/ssd,16,16,11.6,4
lenovo,98,black,Used,intel,1.1,windows,hdd/ssd,128,128,11.6,4
hp,645,silver,Used,nvidia,2.6,windows,hdd/ssd,64,1000,17.3,64
dell,440,black,Used,intel,2.5,linux,hdd/ssd,500,500,15.6,16
microsoft,563,silver,Open box,intel,3.3,windows,ssd,0,256,13.5,8
lenovo,160,other,Very Good - Refurbished,intel,2.1,windows,ssd,0,240,15.6,8
lenovo,259,gray,Used,intel,3,windows,hdd/ssd,128,128,14,4
hp,170,other,Used,other,2.4,windows,hdd/ssd,256,256,15.6,16
hp,265.5,silver,Good - Refurbished,amd,1.9,windows,ssd,0,1000,15,16
lenovo,249,black,Used,intel,3,windows,hdd/ssd,128,128,14,8
lenovo,380,other,Excellent - Refurbished,other,2.8,windows,hdd/ssd,2000,2000,14,32
dell,329,black,Used,intel,2.9,windows,hdd/ssd,512,512,15.6,16
dell,75,other,Used,intel,2.6,windows,ssd,0,128,14,8
dell,599,gray,Used,other,3,windows,ssd,0,512,15.6,16
microsoft,529,brown,Used,intel,2.4,windows,ssd,0,512,13.5,8
hp,495,silver,Very Good - Refurbished,intel,4.2,windows,hdd/ssd,1000,1000,14,32
lenovo,45,black,Used,intel,1.6,chrome,ssd,0,16,11.6,4
microsoft,680,silver,Used,intel,2.4,windows,ssd,0,256,12.3,16
lenovo,234.9,other,Used,other,2.5,windows,ssd,0,256,14,8
dell,265,black,Used,intel,1.9,windows,ssd,0,512,14,16
lenovo,164.2,other,Used,intel,2.6,windows,ssd,0,256,14,8
lenovo,79,gray,Very Good - Refurbished,amd,1.6,chrome,ssd,0,32,14,4
lenovo,229,other,Used,other,1.7,windows,ssd,0,256,14,16
lenovo,197.2,other,Very Good - Refurbished,other,1.7,windows,ssd,0,128,12.5,8
hp,130,gray,Used,intel,1.1,windows,hdd/ssd,128,128,11.6,4
dell,599,other,New,intel,3,windows,hdd/ssd,16,256,14,16
